Alias,Information Visualization,Statistical,Mathematics,Drawing and artistic,Computer usage,Programming,Computer graphics programming,HCI programming,UX evaluation,Communication,Collaboration,Code repository
Monokuma,3,3,4,6,8,6,5,3,3,5,5,5
NoobKiz,7,7,6,4,8,8,4,7,5,7,7,9
Rella666,6,5,6,7,6,3,5,5,3,7,7,2
Kropotkin42,3,4,5,8,7,4,4,1,6,9,6,7
Kyrie11,5,6,4,4,6,6,3,5,5,5,9,6
chiri,5,2,2,9,7,6,3,6,4,5,5,9
Superwoman97,2,3,5,6,7,2,1,3,6,10,5,4
cowboy55,5,3,5,5,8,6,3,5,5,10,8,6
phips77,3,6,3,4,5,3,1,1,6,9,8,6
Vis81,3,5,5,6,7,5,2,4,3,4,7,6
Ellakingen,3,1,5,7,7,7,2,2,2,10,5,5
Cinnamon-Bun,3,5,7,4,9,6,2,3,1,8,7,7
Lapalus ,6,6,5,9,8,8,4,6,8,7,8,6
4LB4,3,3,5,7,7,5,2,5,5,7,8,5
Ray Primary,4,4,8,6,9,7,5,3,2,9,7,7
papi33,1,1,2,8,4,3,1,1,2,1,4,3
Mustang22,3,4,6,7,7,5,2,3,5,7,6,3
e4c6,2,3,4,1,4,3,3,2,2,6,7,4
DancingTomato2,2,4,5,6,8,7,2,2,1,10,8,7
Frogster,3,1,5,7,7,6,1,4,4,6,6,6
swoop11,3,6,6,4,8,7,2,4,6,8,8,10
Maximillianmus,1,4,4,6,7,6,5,4,1,4,5,4
hexachord,4,6,7,4,8,8,5,4,4,7,7,8
Mark Hamill,2,2,3,2,6,3,3,4,3,8,7,1
Spike123,5,7,8,7,8,7,1,1,5,7,7,7
sejfz,1,3,6,10,9,6,5,6,7,3,6,6
Lol123,1,2,4,1,3,2,1,1,2,6,5,1
Pencil12,6,5,6,7,8,6,2,5,4,8,7,6
Jericho,5,5,6,4,6,6,5,3,2,3,5,4
no one,3,6,8,1,8,8,7,3,1,5,5,5
C3I2,6,9,6,2,8,6,5,6,7,8,6,6
Monsterhunter98,4,4,6,4,7,7,4,4,4,6,6,6
raspberry666,1,3,6,3,7,6,5,6,2,8,7,3
User14,3,5,5,5,8,5,3,6,6,10,8,4
solarpunk,4,3,5,9,9,5,5,6,6,10,10,4
shuriken,3,3,3,3,7,7,3,3,3,7,4,10
seed2,3,5,5,3,7,3,1,3,3,7,8,1
Unchain,1,2,2,9,9,9,5,7,1,9,9,7
AGreatAlias19,1,2,5,7,7,2,1,3,6,10,8,2
ratponto,6,8,8,7,9,7,5,7,6,6,7,7
Banana,2,3,7,3,8,5,1,2,2,10,9,7
JoHa,6,9,9,8,9,8,7,6,6,7,6,9
ginger,1,5,8,5,6,10,6,5,1,1,7,9